,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,21816,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34724369290.30196,34724369290.30196,False,,6,,,,2024-08-31T23:35:00.000Z,1.000037414599089,1994356852.1578503,-67.0054,-0.00624279,0.01242192,0.00555834,0.01368155,-0.01075728,0.00550151,34725668488.65758,1.677,34725668488.66,,2024-08-31T23:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-31 23:37:32.523746
6,52,XRP,XRP,xrp,1374,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56251561168.0,99987294444.0,False,,7,,,,2024-08-31T23:36:00.000Z,0.566158988702524,465642797.2353614,-57.8541,-0.25274341,-0.13468527,-7.56409831,-4.97775052,16.87163171,10.2807779,31847326983.81305,1.5385,56615898870.25,,2024-08-31T23:36:00.000Z,,,,,,2024-08-31 23:37:32.523746
7,74,Dogecoin,DOGE,dogecoin,1050,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145767916383.70526,145767916383.70526,True,,8,,,,2024-08-31T23:36:00.000Z,0.10130250167879157,327889435.26827383,-39.8255,-0.13411473,-0.07298938,-9.80459361,-14.63725537,-18.91389391,-35.49779455,14766654594.174252,0.7132,14766654594.17,,2024-08-31T23:36:00.000Z,,,,,,2024-08-31 23:37:32.523746
8,11419,Toncoin,TON,toncoin,540,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2534900882.283681,5111240299.02814,True,,9,3414166606.0,18468037009.972855,,2024-08-31T23:35:00.000Z,5.4092371993556,197010099.2768252,-26.41,-0.19955436,0.62496351,-6.07126091,-19.76653258,-32.90774131,-20.80791259,13711880149.128218,0.6623,27647911160.35,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
9,1958,TRON,TRX,tron,1021,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86776145792.98622,86776147782.164,True,,10,71659659264.0,11313159782.283157,,2024-08-31T23:35:00.000Z,0.1578734799813178,326201062.9929479,-25.5136,0.15782532,-1.35573881,-0.65871552,23.17569325,22.34868959,37.34476537,13699652115.704924,0.6618,13699652429.74,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
10,2010,Cardano,ADA,cardano,1239,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-08-31T23:35:00.000Z,0.3450767195845374,121736954.951613,-59.1572,-0.18954242,-0.67995227,-12.41627909,-11.68563183,-17.48903995,-22.71218133,12409180735.811993,0.5993,15528452381.3,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
11,5805,Avalanche,AVAX,avalanche,770,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,404929418.07289064,444932518.07289064,False,,12,,,,2024-08-31T23:35:00.000Z,22.721507025534418,120822284.93766053,-50.1826,-0.4047195,-2.40753503,-15.95077294,-11.13157108,-20.78356709,-35.06267578,9200606617.588749,0.4444,16262889547.28,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
12,5994,Shiba Inu,SHIB,shiba-inu,863,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269849456374.6,589518731477139.8,False,,13,,,,2024-08-31T23:35:00.000Z,1.3815270774546266e-05,100548515.54293835,-47.7701,-0.01181259,-1.33890216,-11.23256618,-12.16720797,-19.88965191,-43.89356329,8140922529.51593,0.3932,8144360902.02,,2024-08-31T23:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-31 23:37:32.523746
13,1975,Chainlink,LINK,chainlink,1836,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,14,,,,2024-08-31T23:35:00.000Z,11.014495174742617,111821699.93810153,-44.9131,-0.27555732,-0.99551594,-10.46340381,-14.58150992,-23.73106762,-39.33329776,6697914190.313347,0.3236,11014495174.74,,2024-08-31T23:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-08-31 23:37:32.523746
14,1831,Bitcoin Cash,BCH,bitcoin-cash,917,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19754562.5,19754562.5,False,,15,,,,2024-08-31T23:35:00.000Z,322.29324185693,103206771.50166611,-36.9088,-0.18838323,-1.01816669,-11.08260489,-21.5682794,-15.80755231,-29.6319023,6366761989.590341,0.3075,6768158079.0,,2024-08-31T23:35:00.000Z,,,,,,2024-08-31 23:37:32.523746
